@RELATION shapes
@ATTRIBUTE shape1 integer
@ATTRIBUTE bb_x1_1 REAL
@ATTRIBUTE bb_y1_1 REAL
@ATTRIBUTE bb_x2_1 REAL
@ATTRIBUTE bb_y2_1 REAL

@ATTRIBUTE shape2 integer
@ATTRIBUTE bb_x1_2 REAL
@ATTRIBUTE bb_y1_2 REAL
@ATTRIBUTE bb_x2_2 REAL
@ATTRIBUTE bb_y2_2 REAL

@ATTRIBUTE shape3 integer
@ATTRIBUTE bb_x1_3 REAL
@ATTRIBUTE bb_y1_3 REAL
@ATTRIBUTE bb_x2_3 REAL
@ATTRIBUTE bb_y2_3 REAL

@ATTRIBUTE shape4 integer
@ATTRIBUTE bb_x1_4 REAL
@ATTRIBUTE bb_y1_4 REAL
@ATTRIBUTE bb_x2_4 REAL
@ATTRIBUTE bb_y2_4 REAL

@ATTRIBUTE magnitude_1 REAL
@ATTRIBUTE angle_1 REAL
@ATTRIBUTE magnitude_2 REAL
@ATTRIBUTE angle_2 REAL
@ATTRIBUTE magnitude_3 REAL
@ATTRIBUTE angle_3 REAL
@ATTRIBUTE magnitude_4 REAL
@ATTRIBUTE angle_4 REAL

@ATTRIBUTE class {don,for,mug,pla,spo}
@DATA


2,19,19,101,108,2,53,56,76,77,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.24937810560445,0.8276265655104502,0,0,0.0,0.0,don
2,27,8,103,114,2,48,35,85,97,0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.20526275297414,0.9097531579442097,0,0,0.0,0.0,don
2,17,13,113,113,2,36,31,94,79,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.1725046566048,0.7583777142101835,0,0,0.0,0.0,don
2,10,7,112,111,3,94,19,124,105,0,0,0,0,0,0,0,0,0,0,0.0,0.0,84.8528137423857,0.1418970546041639,0,0,0.0,0.0,don
2,17,10,115,114,2,47,50,78,86,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.9272952180016122,0,0,0.0,0.0,don
2,26,41,103,110,2,52,23,95,64,2,62,58,91,78,0,0,0,0,0,0.0,0.0,31.622776601683793,-0.6055446636049701,36.40054944640259,1.2924966677897853,0,0,don
2,10,10,117,105,2,16,13,82,59,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.708203932499369,0.4636476090008061,0,0,0.0,0.0,don
2,2,10,113,110,2,58,33,109,98,0,0,0,0,0,0,0,0,0,0,0.0,0.0,60.53924347066124,0.38970857134286574,0,0,0.0,0.0,don
2,38,41,94,85,2,9,19,124,103,2,69,45,125,88,0,0,0,0,0,0.0,0.0,36.40054944640259,0.6489955589965009,65.39113089708727,0.4089078289509254,0,0,don
2,32,25,98,88,2,93,56,121,100,2,34,61,91,106,0,0,0,0,0,0.0,0.0,68.42514157822401,0.47018346364673724,59.21148537234985,-0.08454375551299813,0,0,don
2,36,17,90,73,2,32,62,108,107,2,44,73,87,89,0,0,0,0,0,0.0,0.0,45.17742799230607,-1.482140444927459,16.278820596099706,0.7419472680059175,0,0,don
2,23,10,103,111,2,45,48,78,96,0,0,0,0,0,0,0,0,0,0,0.0,0.0,43.9089968002003,1.0460005551447893,0,0,0.0,0.0,don
